LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Loantype,Product,Branch,ClearDate,CustomerId,default,current_balance,Gender,LoanLimit,CreditScore,Status,Date Created,repayment_txn_count,repayment_total_paid,loan_first_repayment,loan_last_repayment,missed_instalments
602037,5000,1500,0,9/21/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/26/2023,573,0,,,,,,,,,,,5
602103,5000,1500,0,9/21/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/26/2023,480,0,,,,,,,,,,,5
602485,7000,2000,0,9/22/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/27/2023,1019,0,,,,,,,,,,,5
602700,5000,1500,0,9/22/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/27/2023,1046,0,,,,,,,,,,,5
602814,5000,1500,0,9/22/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/27/2023,1047,0,,,,,,,,,,,5
603010,9000,3500,0,9/23/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/11/2023,973,0,,,,,,,,,,,7
603024,10000,2750,0,9/23/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/28/2023,23,0,,,,,,,,,,,5
603076,10000,2750,0,9/23/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/28/2023,859,0,,,,,,,,,,,5
603152,7000,2000,0,9/24/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/29/2023,975,0,,,,,,,,,,,5
603176,9000,2500,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,958,0,,,,,,,,,,,5
603198,10000,5500,0,9/25/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,4/12/2023,798,0,,,,,,,,,,,10
603241,8000,2250,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,1003,0,,,,,,,,,,,5
603242,5000,1500,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,967,0,,,,,,,,,,,5
603245,20000,7350,0,9/25/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/13/2023,26,0,,,,,,,,,,,7
603304,20000,7350,0,9/25/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,11/13/2023,681,0,,,,,,,,,,,7
603505,8000,2250,0,9/25/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/30/2023,969,0,,,,,,,,,,,5
